Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,08/05/2020,6166.50,6166.50,6099.50,6135.90,1007992896.00,0.00,0.00
^BSESN,08/04/2020,37092.86,37745.60,36987.73,37687.91,15052.00,0.00,0.00
^FCHI,08/04/2020,4905.66,4920.80,4856.65,4889.52,0.00,0.00,0.00
^FTSE,08/04/2020,6032.85,6056.47,5986.77,6036.00,0.00,0.00,0.00
^DJI,08/04/2020,26664.61,26832.72,26597.82,26828.47,355456960.00,0.00,0.00
^GDAXI,08/04/2020,12744.13,12768.58,12528.07,12600.87,0.00,0.00,0.00
^GSPC,08/04/2020,3289.92,3306.84,3286.37,3306.51,2404966144.00,0.00,0.00
^HSI,08/05/2020,25124.00,25215.00,24879.00,25169.00,0.00,0.00,0.00
^IXIC,08/04/2020,10897.90,10941.91,10852.90,10941.17,3721316096.00,0.00,0.00
^JKAGRI,08/05/2020,1155.42,1158.52,1143.94,1155.13,170948016.00,-5169999872.00,0.00
^JKBIND,08/05/2020,743.03,750.24,737.65,749.12,797864576.00,-43980001280.00,0.00
^JKBISNIS27,08/05/2020,457.62,463.75,454.52,463.31,1336176128.00,-139963039744.00,0.00
^JKCONS,08/05/2020,1876.83,1912.57,1872.30,1911.62,843569408.00,90310000640.00,0.00
^JKDBX,08/05/2020,935.16,941.26,933.64,941.26,2891201280.00,-3372755712.00,0.00
^JKFINA,08/05/2020,1120.57,1122.78,1110.43,1122.59,1282502912.00,-143619997696.00,0.00
^JKIDX30,08/05/2020,431.11,437.97,428.40,437.51,1735583232.00,-129776074752.00,0.00
^JKII,08/05/2020,547.84,559.25,559.25,558.54,1804834176.00,13584236544.00,0.00
^JKINFA,08/05/2020,884.33,906.63,880.26,904.22,1856835200.00,-140489998336.00,0.00
^JKINFOBANK15,08/05/2020,826.40,829.15,817.33,828.83,524978400.00,-139570167808.00,0.00
^JKINVESTOR33,08/05/2020,378.37,383.36,375.67,382.89,1648604544.00,-171992432640.00,0.00
^JKISSI,08/05/2020,147.95,150.60,147.95,150.53,6197466112.00,-81137623040.00,0.00
^JKKOMPAS100,08/05/2020,1018.49,1032.61,1013.81,1032.14,5475846144.00,-378788446208.00,0.00
^JKLQ45,08/05/2020,789.90,802.44,786.06,801.69,2785297664.00,-236853673984.00,0.00
^JKMBX,08/05/2020,1409.34,1425.07,1403.79,1424.55,6673140736.00,-355420602368.00,0.00
^JKMING,08/05/2020,1359.22,1399.79,1359.44,1399.67,1636945024.00,66049998848.00,0.00
^JKMNC36,08/05/2020,286.55,290.11,284.55,289.92,2116634752.00,-162913681408.00,0.00
^JKMISC,08/05/2020,893.14,910.81,891.78,905.55,162234176.00,21099999232.00,0.00
^JKMNFG,08/05/2020,1217.20,1236.48,1215.50,1235.11,1803668224.00,0.00,0.00
^JKPEFINDO25,08/05/2020,262.55,268.79,262.40,267.92,670058688.00,-43534356480.00,0.00
^JKPROP,08/05/2020,288.81,291.07,285.83,289.26,1179027712.00,-115880001536.00,0.00
^JKSE,08/05/2020,5075.00,5127.05,5059.09,5127.05,9564342272.00,-360509997056.00,0.00
^JKSMINFRA18,08/05/2020,246.98,252.40,246.06,252.36,1042878528.00,-269012959232.00,0.00
^JKSRIKEHATI,08/05/2020,319.24,323.76,316.78,323.34,1120465024.00,-202866688000.00,0.00
^JKTRAD,08/05/2020,611.01,617.35,610.90,615.71,1634414976.00,-88830001152.00,0.00
^KLSE,08/05/2020,1578.82,1579.91,1566.87,1573.07,93129600.00,0.00,0.00
^KS11,08/05/2020,2289.23,2312.14,2283.95,2311.86,830189.00,0.00,0.00
^N225,08/05/2020,22479.72,22554.20,22356.25,22514.85,0.00,0.00,0.00
^NZ50,08/05/2020,11771.72,11783.57,11713.82,11757.72,0.00,0.00,0.00
^SSEC,08/05/2020,3363.33,3383.56,3333.88,3377.56,385823.00,0.00,0.00
^STI,08/05/2020,2527.31,2549.07,2513.16,2534.72,0.00,0.00,0.00
^VIX,08/04/2020,24.01,26.01,22.17,23.76,0.00,0.00,0.00
AALI,08/05/2020,9725.00,9800.00,9550.00,9750.00,2306100.00,-6529999872.00,2188.00
ABBA,08/05/2020,50.00,50.00,50.00,50.00,226900.00,0.00,21.00
ABDA,08/05/2020,6900.00,6900.00,6900.00,6900.00,200.00,0.00,1.00
ABMM,08/05/2020,1050.00,1050.00,1000.00,1000.00,4300.00,0.00,22.00
ACES,08/05/2020,1700.00,1700.00,1650.00,1685.00,5225400.00,-4110000128.00,1810.00
ACST,08/05/2020,244.00,262.00,244.00,252.00,1614600.00,-5460000.00,439.00
ADAUSD,08/04/2020,0.14,0.15,0.14,0.14,677470016.00,0.00,0.00
ADES,08/05/2020,975.00,1000.00,970.00,1000.00,177200.00,0.00,70.00
ADHI,08/05/2020,565.00,590.00,560.00,585.00,21759400.00,-961640000.00,1865.00
ADMF,08/05/2020,7550.00,7600.00,7400.00,7575.00,163700.00,89700000.00,236.00
ADMG,08/05/2020,105.00,107.00,103.00,106.00,905000.00,0.00,103.00
AGAR,08/05/2020,505.00,505.00,505.00,505.00,100.00,0.00,1.00
ADRO,08/05/2020,1045.00,1055.00,1030.00,1050.00,32037900.00,1340000000.00,3497.00
AGII,08/05/2020,545.00,550.00,530.00,540.00,142800.00,0.00,47.00
AGRO,08/05/2020,220.00,238.00,218.00,228.00,52537800.00,-57880000.00,3387.00
AGRS,08/05/2020,142.00,142.00,138.00,142.00,41400.00,0.00,12.00
AHAP,08/05/2020,50.00,52.00,50.00,52.00,3600.00,0.00,11.00
AIMS,08/05/2020,180.00,180.00,180.00,180.00,0.00,0.00,0.00
AISA,08/05/2020,168.00,168.00,168.00,168.00,0.00,0.00,0.00
AKKU,08/05/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
AKPI,08/05/2020,280.00,282.00,280.00,282.00,14400.00,0.00,6.00
AKRA,08/05/2020,2800.00,2810.00,2710.00,2770.00,32024800.00,-25159999488.00,2539.00
AKSI,08/05/2020,256.00,256.00,240.00,244.00,122900.00,14840000.00,51.00
ALDO,08/05/2020,400.00,400.00,400.00,400.00,233500.00,0.00,6.00
ALKA,08/05/2020,366.00,366.00,364.00,364.00,1200.00,0.00,3.00
ALMI,08/05/2020,195.00,200.00,192.00,200.00,1800.00,0.00,4.00
ALTO,08/05/2020,312.00,400.00,312.00,400.00,62600.00,0.00,10.00
AMAN,08/05/2020,195.00,195.00,195.00,195.00,225800.00,0.00,8.00
AMAG,08/05/2020,226.00,230.00,220.00,226.00,645000.00,-65710000.00,128.00
AMAR,08/05/2020,366.00,378.00,366.00,366.00,46600.00,0.00,34.00
AMIN,08/05/2020,244.00,244.00,244.00,244.00,0.00,0.00,0.00
AMOR,08/05/2020,1950.00,1980.00,1940.00,1980.00,9700.00,0.00,10.00
AMFG,08/05/2020,2900.00,2900.00,2900.00,2900.00,0.00,0.00,0.00
AMRT,08/05/2020,745.00,760.00,745.00,755.00,827500.00,-304969984.00,183.00
ANDI,08/05/2020,50.00,50.00,50.00,50.00,128400.00,0.00,13.00
ANJT,08/05/2020,570.00,570.00,570.00,570.00,2900.00,0.00,5.00
ANSUSD,08/04/2020,12.39,12.77,12.33,12.56,4370000.00,0.00,0.00
ANTM,08/05/2020,730.00,750.00,715.00,750.00,182812800.00,3640000000.00,9666.00
APEX,08/05/2020,165.00,170.00,160.00,160.00,12900.00,0.00,10.00
APIC,08/05/2020,855.00,865.00,845.00,860.00,23653600.00,-389660000.00,2769.00
APII,08/05/2020,204.00,214.00,202.00,202.00,495400.00,-12000000.00,69.00
APLI,08/05/2020,112.00,119.00,112.00,119.00,800.00,0.00,5.00
APLN,08/05/2020,106.00,108.00,104.00,108.00,19912300.00,-366060000.00,1507.00
APOL,08/05/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARGO,08/05/2020,1485.00,1485.00,1485.00,1485.00,0.00,0.00,0.00
ARKA,08/05/2020,288.00,288.00,288.00,288.00,0.00,0.00,0.00
ARII,08/05/2020,494.00,494.00,446.00,448.00,66100.00,-21410000.00,25.00
ARMY,08/05/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARNA,08/05/2020,418.00,420.00,410.00,414.00,4180200.00,-58750000.00,140.00
ARTA,08/05/2020,300.00,302.00,300.00,302.00,4800.00,0.00,2.00
ARTI,08/05/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARTO,08/05/2020,2750.00,2760.00,2730.00,2750.00,82800.00,0.00,38.00
ASBI,08/05/2020,280.00,300.00,280.00,300.00,1100.00,0.00,2.00
ASDM,08/05/2020,930.00,930.00,930.00,930.00,0.00,0.00,0.00
ASGR,08/05/2020,645.00,655.00,645.00,650.00,1465700.00,-228800000.00,94.00
ASII,08/05/2020,4970.00,5100.00,4950.00,5050.00,22883900.00,20879998976.00,6910.00
ASJT,08/05/2020,127.00,127.00,116.00,119.00,27200.00,0.00,23.00
ASMI,08/05/2020,1165.00,1170.00,1150.00,1170.00,27900.00,0.00,37.00
ASPI,08/05/2020,198.00,204.00,196.00,198.00,23340300.00,-10840000.00,2175.00
ASRI,08/05/2020,115.00,119.00,114.00,118.00,32482200.00,-605289984.00,1066.00
ASRM,08/05/2020,1900.00,2000.00,1900.00,1990.00,2300.00,0.00,9.00
ASSA,08/05/2020,510.00,550.00,505.00,535.00,10798000.00,78870000.00,764.00
ATIC,08/05/2020,700.00,700.00,655.00,655.00,7600.00,327500.00,6.00
ATPK,08/05/2020,194.00,194.00,194.00,194.00,0.00,0.00,0.00
AUDUSD,08/04/2020,0.71,0.72,0.71,0.72,0.00,0.00,0.00
AYLS,08/05/2020,50.00,50.00,50.00,50.00,20000.00,0.00,1.00
AUTO,08/05/2020,845.00,855.00,835.00,855.00,867300.00,-98050000.00,380.00
BABP,08/05/2020,50.00,50.00,50.00,50.00,100.00,0.00,1.00
BABP-W3,08/05/2020,27.00,29.00,27.00,29.00,32000.00,0.00,0.00
BACA,08/05/2020,404.00,404.00,392.00,404.00,5400.00,-1380000.00,18.00
BAJA,08/05/2020,55.00,60.00,55.00,57.00,240100.00,0.00,74.00
BALI,08/05/2020,880.00,880.00,880.00,880.00,6100.00,0.00,4.00
BAPI,08/05/2020,50.00,50.00,50.00,50.00,700.00,0.00,3.00
BAPA,08/05/2020,50.00,50.00,50.00,50.00,91800.00,0.00,3.00
BATA,08/05/2020,575.00,610.00,575.00,610.00,1200.00,61000.00,7.00
BAYU,08/05/2020,1155.00,1155.00,1155.00,1155.00,0.00,0.00,0.00
BBHI,08/05/2020,115.00,126.00,115.00,122.00,83200.00,0.00,22.00
BBCA,08/05/2020,31000.00,31100.00,30500.00,31025.00,9878600.00,-45090000896.00,8266.00
BBKP,08/05/2020,180.00,180.00,175.00,178.00,28511000.00,-266190000.00,1145.00
BBMD,08/05/2020,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00
BBLD,08/05/2020,370.00,370.00,368.00,368.00,3900.00,0.00,9.00
BBNI,08/05/2020,4570.00,4640.00,4510.00,4630.00,41149900.00,20230000640.00,9162.00
BBNP,08/05/2020,2250.00,2250.00,2250.00,2250.00,0.00,0.00,0.00
BBRI,08/05/2020,3100.00,3110.00,3040.00,3080.00,161496000.00,-13379999744.00,21460.00
BBRM,08/05/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BBSS,08/05/2020,112.00,120.00,105.00,119.00,8826400.00,0.00,1307.00
BBTN,08/05/2020,1290.00,1330.00,1265.00,1320.00,132355296.00,9509999616.00,9788.00
BBYB,08/05/2020,288.00,288.00,288.00,288.00,1300.00,0.00,1.00
BCAP,08/05/2020,148.00,148.00,145.00,148.00,10544100.00,135060000.00,3211.00
BCHUSD,08/04/2020,296.71,302.96,282.05,288.12,1650000.00,0.00,0.00
BCIC,08/05/2020,700.00,700.00,700.00,700.00,0.00,0.00,0.00
BCIP,08/05/2020,50.00,51.00,50.00,50.00,496200.00,0.00,69.00
BEEF,08/05/2020,191.00,204.00,188.00,189.00,10313700.00,0.00,1537.00
BDMN,08/05/2020,2700.00,2730.00,2660.00,2720.00,2239500.00,-2050000000.00,678.00
BEEF-W,08/05/2020,14.00,15.00,12.00,13.00,13056000.00,0.00,0.00
