Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,08/10/2020,6144.90,6261.10,6144.90,6247.10,949510528.00,0.00,0.00
^BSESN,08/07/2020,37951.07,38109.68,37787.38,38040.57,15259.00,0.00,0.00
^DJI,08/07/2020,27321.68,27456.24,27223.55,27433.48,321169984.00,0.00,0.00
^FCHI,08/07/2020,4873.10,4896.21,4843.90,4889.52,0.00,0.00,0.00
^FTSE,08/07/2020,6026.94,6046.02,5996.73,6032.18,0.00,0.00,0.00
^GDAXI,08/07/2020,12634.79,12691.66,12517.44,12674.88,0.00,0.00,0.00
^GSPC,08/07/2020,3340.05,3352.54,3328.72,3351.28,4104859904.00,0.00,0.00
^HSI,08/10/2020,24376.82,24536.01,24272.67,24377.43,0.00,0.00,0.00
^IXIC,08/07/2020,11072.53,11126.04,10920.37,11010.98,4230720000.00,0.00,0.00
^JKAGRI,08/10/2020,1182.13,1197.45,1183.36,1196.84,196179600.00,3489999872.00,0.00
^JKBIND,08/10/2020,750.03,760.13,749.98,760.13,491871264.00,-19919998976.00,0.00
^JKBISNIS27,08/10/2020,464.04,465.68,462.08,464.21,1121673728.00,-203360485376.00,0.00
^JKCONS,08/10/2020,1901.38,1916.38,1900.25,1912.83,394900288.00,-61880000512.00,0.00
^JKDBX,08/10/2020,946.63,949.31,944.36,949.31,3134437120.00,-137055240192.00,0.00
^JKFINA,08/10/2020,1123.70,1126.48,1116.20,1124.74,1768282752.00,-18420000768.00,0.00
^JKIDX30,08/10/2020,440.09,441.93,438.25,440.53,1334257920.00,-217544998912.00,0.00
^JKII,08/10/2020,560.63,563.09,557.98,559.93,1077672320.00,-215013851136.00,0.00
^JKINFA,08/10/2020,891.40,900.64,886.47,887.71,1601143936.00,-286600003584.00,0.00
^JKINFOBANK15,08/10/2020,831.95,834.42,824.65,830.59,272571104.00,-3333970688.00,0.00
^JKINVESTOR33,08/10/2020,383.51,384.98,381.92,382.69,908435392.00,-234100736000.00,0.00
^JKISSI,08/10/2020,151.26,151.90,150.84,151.25,4090081792.00,-276394803200.00,0.00
^JKKOMPAS100,08/10/2020,1036.40,1039.45,1033.46,1037.96,4275816448.00,-406152544256.00,0.00
^JKLQ45,08/10/2020,806.19,809.10,802.66,806.90,1919616768.00,-252197289984.00,0.00
^JKMBX,08/10/2020,1428.74,1433.24,1426.12,1432.58,6215263744.00,-316766683136.00,0.00
^JKMING,08/10/2020,1420.04,1431.45,1408.01,1430.96,2107895040.00,54729998336.00,0.00
^JKMISC,08/10/2020,936.52,938.83,916.64,917.81,236085680.00,-55180001280.00,0.00
^JKMNC36,08/10/2020,290.85,291.88,289.80,290.58,1516992128.00,-191247499264.00,0.00
^JKMNFG,08/10/2020,1237.79,1245.02,1235.63,1243.41,1824934656.00,0.00,0.00
^JKPEFINDO25,08/10/2020,269.82,272.00,269.08,269.44,473452800.00,-26536278016.00,0.00
^JKPROP,08/10/2020,287.70,291.01,287.45,291.01,732082560.00,-34609999872.00,0.00
^JKSE,08/10/2020,5143.89,5158.68,5134.87,5157.83,9349700608.00,-453999984640.00,0.00
^JKSMINFRA18,08/10/2020,253.89,254.69,252.23,254.21,887996480.00,-98458968064.00,0.00
^JKSRIKEHATI,08/10/2020,324.97,326.25,323.38,323.73,470575616.00,-190600232960.00,0.00
^JKTRAD,08/10/2020,635.02,637.44,631.41,636.36,1821259776.00,-35599998976.00,0.00
^KLSE,08/10/2020,1579.29,1579.29,1558.07,1571.66,65973000.00,0.00,0.00
^KS11,08/10/2020,2353.92,2390.51,2349.33,2386.38,784617.00,0.00,0.00
^N225,08/07/2020,22433.78,22436.16,22204.61,22329.94,0.00,0.00,0.00
^NZ50,08/10/2020,11646.68,11707.41,11633.33,11683.44,0.00,0.00,0.00
^SSEC,08/10/2020,3341.53,3399.93,3335.04,3379.25,0.00,0.00,0.00
^STI,08/10/2020,2558.30,2558.96,2529.35,2545.51,0.00,0.00,0.00
^VIX,08/07/2020,23.45,24.02,22.02,22.21,0.00,0.00,0.00
AALI,08/10/2020,9850.00,10125.00,9750.00,10125.00,3044700.00,4190000128.00,2001.00
ABBA,08/10/2020,50.00,50.00,50.00,50.00,315500.00,-2000000.00,27.00
