Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,08/06/2020,6135.90,6186.70,6135.90,6180.30,1029283328.00,0.00,0.00
^BSESN,08/05/2020,37892.36,38139.96,37550.60,37663.33,19753.00,0.00,0.00
^FCHI,08/05/2020,4916.96,4954.60,4907.41,4933.34,0.00,0.00,0.00
^FTSE,08/05/2020,6036.00,6111.50,6036.00,6104.72,0.00,0.00,0.00
^DJI,08/05/2020,26924.78,27221.67,26924.78,27201.52,369984608.00,0.00,0.00
^GDAXI,08/05/2020,12667.12,12757.03,12632.99,12660.25,0.00,0.00,0.00
^GSPC,08/05/2020,3317.37,3330.77,3317.37,3327.77,2446007040.00,0.00,0.00
^HSI,08/06/2020,25189.00,25202.00,24639.50,24958.00,0.00,0.00,0.00
^IXIC,08/05/2020,10967.90,11002.11,10943.72,10998.40,3834801664.00,0.00,0.00
^JKAGRI,08/06/2020,1155.13,1177.63,1154.64,1177.63,162850864.00,1330000000.00,0.00
^JKBIND,08/06/2020,749.12,761.45,749.24,757.75,640105024.00,-33159999488.00,0.00
^JKBISNIS27,08/06/2020,463.31,468.91,463.31,467.49,1291817088.00,118439993344.00,0.00
^JKCONS,08/06/2020,1911.62,1933.76,1911.62,1919.11,929972288.00,-44359999488.00,0.00
^JKDBX,08/06/2020,941.26,949.33,941.44,947.33,2816202496.00,-34806018048.00,0.00
^JKFINA,08/06/2020,1122.59,1135.14,1122.59,1130.60,1285635840.00,121030000640.00,0.00
^JKIDX30,08/06/2020,437.51,444.07,437.51,442.86,3496316416.00,185446072320.00,0.00
^JKII,08/06/2020,558.54,564.87,558.64,564.39,1957081600.00,54347849728.00,0.00
^JKINFA,08/06/2020,904.22,913.64,902.81,907.07,3431264000.00,-214750003200.00,0.00
^JKINFOBANK15,08/06/2020,828.83,841.03,828.83,836.70,393722208.00,120280162304.00,0.00
^JKINVESTOR33,08/06/2020,382.89,387.10,382.90,385.89,1248071936.00,44394524672.00,0.00
^JKISSI,08/06/2020,150.53,152.29,150.53,152.08,6236963328.00,39320891392.00,0.00
^JKKOMPAS100,08/06/2020,1032.14,1047.13,1032.16,1044.46,6958768128.00,-87039737856.00,0.00
^JKLQ45,08/06/2020,801.69,813.80,801.71,811.59,4312395776.00,117195218944.00,0.00
^JKMBX,08/06/2020,1424.55,1442.22,1424.56,1439.50,8802743296.00,24870594560.00,0.00
^JKMING,08/06/2020,1399.67,1440.60,1399.98,1437.44,2067044352.00,210000003072.00,0.00
^JKMISC,08/06/2020,905.55,931.33,905.35,931.18,220201024.00,65670000640.00,0.00
^JKMNC36,08/06/2020,289.92,293.83,289.93,293.25,2276251904.00,129867177984.00,0.00
^JKMNFG,08/06/2020,1235.11,1250.54,1235.13,1247.02,1790278144.00,0.00,0.00
^JKPEFINDO25,08/06/2020,267.92,273.50,267.96,271.22,820689984.00,-34084331520.00,0.00
^JKPROP,08/06/2020,289.26,293.37,287.62,291.73,1113991168.00,-71080001536.00,0.00
^JKSE,08/06/2020,5127.05,5187.96,5127.10,5178.27,11618945024.00,-11029999616.00,0.00
^JKSMINFRA18,08/06/2020,252.36,257.69,252.39,256.61,938288384.00,-61272330240.00,0.00
^JKSRIKEHATI,08/06/2020,323.34,327.51,323.34,326.51,801257280.00,75457560576.00,0.00
^JKTRAD,08/06/2020,615.71,629.11,615.56,627.78,1767880832.00,-45710000128.00,0.00
^KLSE,08/06/2020,1577.47,1582.16,1575.40,1579.57,65412900.00,0.00,0.00
^KS11,08/06/2020,2322.64,2352.48,2322.64,2342.61,785176.00,0.00,0.00
^N225,08/06/2020,22471.71,22587.75,22362.89,22418.15,0.00,0.00,0.00
^NZ50,08/06/2020,11757.72,11779.80,11712.52,11764.59,0.00,0.00,0.00
^SSEC,08/06/2020,3380.76,3392.70,3334.33,3386.46,415303.00,0.00,0.00
^STI,08/06/2020,2551.03,2566.70,2548.19,2555.90,0.00,0.00,0.00
^VIX,08/05/2020,23.76,23.76,22.86,22.99,0.00,0.00,0.00
AALI,08/06/2020,9775.00,9800.00,9675.00,9700.00,1413500.00,-164820000.00,1871.00
ABBA,08/06/2020,50.00,50.00,50.00,50.00,65400.00,0.00,18.00
ABDA,08/06/2020,6900.00,6900.00,6900.00,6900.00,0.00,0.00,0.00
ABMM,08/06/2020,1050.00,1050.00,1000.00,1000.00,8000.00,0.00,13.00
ACES,08/06/2020,1690.00,1695.00,1625.00,1650.00,20134100.00,-13740000256.00,4884.00
ACST,08/06/2020,238.00,258.00,238.00,254.00,693800.00,0.00,161.00
