Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^BSESN,07/29/2020,38427.15,38617.03,37884.41,38071.13,17551.00,0.00,0.00
^AORD,07/30/2020,6164.70,6191.60,6160.50,6177.50,999936128.00,0.00,0.00
^FCHI,07/29/2020,4948.48,4978.50,4945.58,4958.74,0.00,0.00,0.00
^FTSE,07/29/2020,6129.26,6155.06,6116.72,6131.46,0.00,0.00,0.00
^GDAXI,07/29/2020,12819.63,12864.39,12789.97,12822.26,0.00,0.00,0.00
^DJI,07/29/2020,26388.44,26602.45,26375.39,26539.57,347575968.00,0.00,0.00
^HSI,07/30/2020,24971.00,25230.50,24555.00,24693.00,0.00,0.00,0.00
^GSPC,07/29/2020,3227.22,3264.74,3227.22,3258.44,2467083264.00,0.00,0.00
^IXIC,07/29/2020,10474.70,10567.91,10464.00,10542.94,3729451264.00,0.00,0.00
^JKAGRI,07/30/2020,1154.81,1179.20,1154.67,1156.32,285413888.00,-4070000128.00,0.00
^JKBIND,07/30/2020,751.64,762.22,744.11,752.08,884055616.00,1970000000.00,0.00
^JKBISNIS27,07/30/2020,458.46,464.00,456.12,464.00,1367685888.00,302202060800.00,0.00
^JKCONS,07/30/2020,1871.59,1886.05,1864.10,1886.05,829249664.00,114270003200.00,0.00
^JKDBX,07/30/2020,1119.55,1134.93,1112.09,1134.93,2801182464.00,-95895961600.00,0.00
^JKFINA,07/30/2020,549.90,555.63,548.67,555.63,1672870016.00,191579996160.00,0.00
^JKIDX30,07/30/2020,433.90,438.28,432.27,438.28,1927265536.00,414941315072.00,0.00
^JKII,07/30/2020,897.98,906.42,892.22,904.06,1701337856.00,206366457856.00,0.00
^JKINFA,07/30/2020,897.98,906.42,892.22,904.06,1888667136.00,-24060000256.00,0.00
^JKINFOBANK15,07/30/2020,825.37,836.89,819.37,836.89,403858912.00,207099068416.00,0.00
^JKINVESTOR33,07/30/2020,379.70,384.33,377.87,384.33,1375537024.00,346521239552.00,0.00
^JKISSI,07/30/2020,149.25,150.13,149.01,150.13,5688095744.00,48782962688.00,0.00
^JKKOMPAS100,07/30/2020,1025.76,1034.50,1020.80,1034.50,4408788992.00,162625437696.00,0.00
