Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,08/07/2020,6180.30,6180.30,6133.40,6144.90,935627456.00,0.00,0.00
^BSESN,08/06/2020,37946.80,38221.40,37755.10,38025.45,16629.00,0.00,0.00
^FCHI,08/06/2020,4919.41,4951.86,4860.98,4885.13,0.00,0.00,0.00
^FTSE,08/06/2020,6104.72,6104.72,5980.44,6026.94,0.00,0.00,0.00
^DJI,08/06/2020,27170.82,27394.10,27145.25,27386.98,323723744.00,0.00,0.00
^GDAXI,08/06/2020,12664.55,12799.21,12519.85,12591.68,0.00,0.00,0.00
^HSI,08/07/2020,24850.00,24850.00,24183.00,24519.50,0.00,0.00,0.00
^GSPC,08/06/2020,3323.17,3351.03,3318.14,3349.16,2414278656.00,0.00,0.00
^IXIC,08/06/2020,10990.00,11121.19,10963.41,11108.07,3782264320.00,0.00,0.00
^JKAGRI,08/07/2020,1177.63,1207.45,1176.08,1182.13,501466912.00,-6190000128.00,0.00
^JKBIND,08/07/2020,757.75,759.28,744.74,750.03,721880320.00,-10540000256.00,0.00
^JKBISNIS27,08/07/2020,467.49,468.08,460.60,464.04,2154590208.00,-43484229632.00,0.00
^JKCONS,08/07/2020,1919.11,1925.95,1891.38,1901.38,366075008.00,-98370002944.00,0.00
^JKDBX,08/07/2020,947.33,950.19,942.64,946.63,3150426368.00,-889117343744.00,0.00
^JKFINA,08/07/2020,1130.60,1132.41,1115.88,1123.70,1702446336.00,-1750000000.00,0.00
^JKIDX30,08/07/2020,442.86,443.41,436.31,440.09,4148514048.00,-49690324992.00,0.00
^JKII,08/07/2020,564.39,566.68,557.08,560.63,1512898560.00,-72496889856.00,0.00
^JKINFA,08/07/2020,907.07,906.84,888.23,891.40,4089367552.00,-995540008960.00,0.00
^JKINFOBANK15,08/07/2020,836.70,838.24,823.99,831.95,254604704.00,-185414064.00,0.00
^JKINVESTOR33,08/07/2020,385.89,386.56,380.43,383.51,1058646784.00,-95157747712.00,0.00
^JKISSI,08/07/2020,152.08,152.69,150.48,151.26,4844350464.00,-107016306688.00,0.00
^JKKOMPAS100,08/07/2020,1044.46,1046.37,1029.94,1036.40,7649406464.00,-1087239880704.00,0.00
^JKLQ45,08/07/2020,811.59,812.67,799.91,806.19,4882159104.00,-93599776768.00,0.00
^JKMBX,08/07/2020,1439.50,1442.02,1421.78,1428.74,9124328448.00,-186358398976.00,0.00
^JKMING,08/07/2020,1437.44,1453.27,1415.85,1420.04,1973200768.00,63500001280.00,0.00
