Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell Foreign,Freq
^AORD,08/04/2020,6053.90,6188.70,6053.90,6166.50,991362944.00,0.00,0.00
^BSESN,08/03/2020,37595.73,37596.02,36911.23,36939.60,14330.00,0.00,0.00
^FCHI,08/03/2020,4797.06,4899.52,4763.60,4875.93,0.00,0.00,0.00
^FTSE,08/03/2020,5897.76,6038.76,5857.06,6032.85,0.00,0.00,0.00
^GDAXI,08/03/2020,12374.46,12698.56,12365.61,12646.98,0.00,0.00,0.00
^DJI,08/03/2020,26542.32,26707.26,26534.38,26664.40,439380000.00,0.00,0.00
^GSPC,08/03/2020,3288.26,3302.73,3284.53,3294.61,4643639808.00,0.00,0.00
^HSI,08/04/2020,24688.00,25112.50,24526.00,24975.00,0.00,0.00,0.00
^IXIC,08/03/2020,10848.64,10927.56,10831.15,10902.80,4173600000.00,0.00,0.00
^JKAGRI,08/04/2020,1132.92,1157.86,1128.18,1155.42,176097248.00,-2010000000.00,0.00
^JKBIND,08/04/2020,729.44,744.75,728.27,743.03,582755712.00,853740032.00,0.00
^JKBISNIS27,08/04/2020,449.29,457.62,449.34,457.62,1330132224.00,228865196032.00,0.00
^JKCONS,08/04/2020,1844.75,1884.27,1847.79,1876.83,857362880.00,125269999616.00,0.00
^JKDBX,08/04/2020,931.48,937.25,931.12,935.16,2732639232.00,-18904176640.00,0.00
^JKFINA,08/04/2020,1104.88,1120.57,1106.21,1120.57,1204053760.00,144989995008.00,0.00
^JKIDX30,08/04/2020,422.63,431.11,422.69,431.11,1732066176.00,211745308672.00,0.00
^JKII,08/04/2020,539.25,548.54,539.34,547.84,1361550464.00,30496630784.00,0.00
^JKINFA,08/04/2020,871.18,886.82,868.03,884.33,1641843968.00,-119129997312.00,0.00
^JKINFOBANK15,08/04/2020,813.25,826.40,814.47,826.40,460803904.00,160128122880.00,0.00
^JKINVESTOR33,08/04/2020,371.89,378.37,372.02,378.37,1360558464.00,220083978240.00,0.00
^JKISSI,08/04/2020,146.04,148.02,146.04,147.95,5190777344.00,-38632235008.00,0.00
^JKKOMPAS100,08/04/2020,1000.47,1018.49,1000.54,1018.49,4671145984.00,101499297792.00,0.00
^JKLQ45,08/04/2020,774.37,789.90,774.47,789.90,2423344640.00,193578123264.00,0.00
^JKMBX,08/04/2020,1388.30,1409.34,1388.39,1409.34,6240825856.00,92806529024.00,0.00
^JKMING,08/04/2020,1339.65,1360.33,1341.04,1359.22,981668800.00,46790000640.00,0.00
^JKMISC,08/04/2020,879.86,893.14,879.99,893.14,96022000.00,-26599999488.00,0.00
^JKMNC36,08/04/2020,281.63,286.55,281.66,286.55,1958177664.00,160796262400.00,0.00
^JKMNFG,08/04/2020,1196.33,1217.79,1197.42,1217.20,1536140672.00,0.00,0.00
^JKPEFINDO25,08/04/2020,260.42,263.89,258.98,262.55,594430720.00,-36737929216.00,0.00
^JKPROP,08/04/2020,289.41,290.40,287.25,288.81,1290695296.00,-34950000640.00,0.00
^JKSE,08/04/2020,5006.22,5075.00,5006.50,5075.00,8973464576.00,72870002688.00,0.00
^JKSMINFRA18,08/04/2020,242.91,247.46,242.78,246.98,1114031744.00,-106191503360.00,0.00
^JKSRIKEHATI,08/04/2020,314.68,319.24,314.78,319.24,882664576.00,96131915776.00,0.00
^JKTRAD,08/04/2020,608.53,612.99,606.68,611.01,2142965248.00,-62350000128.00,0.00
^KLSE,08/04/2020,1578.24,1580.87,1549.62,1575.67,118625200.00,0.00,0.00
^KS11,08/04/2020,2272.33,2284.66,2269.69,2279.97,712555.00,0.00,0.00
^N225,08/04/2020,22379.74,22603.82,22379.74,22573.66,0.00,0.00,0.00
^NZ50,08/04/2020,11666.09,11794.00,11666.09,11771.72,0.00,0.00,0.00
^SSEC,08/04/2020,3376.44,3391.07,3352.50,3371.69,442329.00,0.00,0.00
^STI,08/04/2020,2495.13,2523.78,2491.39,2511.60,0.00,0.00,0.00
^VIX,08/03/2020,25.75,26.01,22.17,24.28,0.00,0.00,0.00
AALI,08/04/2020,9600.00,9800.00,9500.00,9700.00,1863000.00,-622400000.00,1478.00
ABBA,08/04/2020,50.00,50.00,50.00,50.00,8100.00,0.00,15.00
ABDA,08/04/2020,7025.00,7025.00,7025.00,7025.00,0.00,0.00,0.00
ABMM,08/04/2020,1050.00,1050.00,1050.00,1050.00,1100.00,0.00,4.00
ACES,08/04/2020,1700.00,1700.00,1670.00,1680.00,11673400.00,-5030000128.00,3000.00
ACST,08/04/2020,232.00,254.00,232.00,242.00,1387800.00,-109820000.00,208.00
ADAUSD,08/03/2020,0.13,0.14,0.13,0.14,424270016.00,0.00,0.00
ADES,08/04/2020,940.00,1020.00,940.00,975.00,250800.00,0.00,170.00
ADHI,08/04/2020,565.00,575.00,550.00,565.00,12291800.00,-390960000.00,1560.00
ADMF,08/04/2020,7600.00,7650.00,7450.00,7550.00,129200.00,245600000.00,231.00
ADMG,08/04/2020,100.00,110.00,100.00,105.00,7517100.00,0.00,411.00
ADRO,08/04/2020,1040.00,1060.00,1030.00,1035.00,46118000.00,6270000128.00,6380.00
AGAR,08/04/2020,510.00,510.00,470.00,486.00,20400.00,0.00,11.00
AGII,08/04/2020,520.00,550.00,510.00,545.00,498100.00,0.00,67.00
AGRO,08/04/2020,212.00,226.00,206.00,220.00,33001200.00,84610000.00,2105.00
AGRS,08/04/2020,140.00,142.00,140.00,142.00,30500.00,0.00,13.00
AHAP,08/04/2020,60.00,60.00,50.00,52.00,96000.00,0.00,37.00
AIMS,08/04/2020,180.00,180.00,180.00,180.00,0.00,0.00,0.00
AISA,08/04/2020,168.00,168.00,168.00,168.00,0.00,0.00,0.00
AKKU,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
AKPI,08/04/2020,290.00,290.00,290.00,290.00,600.00,0.00,1.00
AKRA,08/04/2020,2800.00,2830.00,2740.00,2800.00,14891100.00,-5470000128.00,1777.00
AKSI,08/04/2020,268.00,272.00,250.00,258.00,426600.00,26060000.00,67.00
ALDO,08/04/2020,398.00,400.00,380.00,400.00,10900.00,0.00,13.00
ALKA,08/04/2020,366.00,366.00,366.00,366.00,400.00,0.00,2.00
ALMI,08/04/2020,200.00,200.00,200.00,200.00,0.00,0.00,0.00
ALTO,08/04/2020,334.00,334.00,334.00,334.00,0.00,0.00,0.00
AMAG,08/04/2020,232.00,232.00,218.00,228.00,1270800.00,-31460000.00,188.00
AMAN,08/04/2020,195.00,195.00,195.00,195.00,253100.00,0.00,8.00
AMAR,08/04/2020,350.00,370.00,350.00,366.00,52000.00,0.00,47.00
AMFG,08/04/2020,2970.00,2970.00,2900.00,2900.00,5400.00,0.00,9.00
AMIN,08/04/2020,244.00,244.00,244.00,244.00,100.00,0.00,1.00
AMOR,08/04/2020,1980.00,1980.00,1975.00,1980.00,500900.00,0.00,3.00
ANDI,08/04/2020,50.00,50.00,50.00,50.00,212900.00,0.00,14.00
AMRT,08/04/2020,720.00,750.00,715.00,745.00,483400.00,70900000.00,114.00
ANJT,08/04/2020,595.00,595.00,595.00,595.00,0.00,0.00,0.00
ANSUSD,08/03/2020,12.17,12.76,12.05,12.39,5350000.00,0.00,0.00
ANTM,08/04/2020,700.00,715.00,700.00,705.00,43434000.00,2230000128.00,3984.00
APEX,08/04/2020,160.00,160.00,150.00,160.00,23600.00,0.00,22.00
APIC,08/04/2020,815.00,855.00,815.00,855.00,11290800.00,93740000.00,2480.00
APII,08/04/2020,224.00,224.00,204.00,216.00,17800.00,0.00,25.00
APLI,08/04/2020,119.00,119.00,119.00,119.00,300.00,0.00,2.00
APLN,08/04/2020,109.00,112.00,103.00,105.00,62444500.00,-926019968.00,1669.00
APOL,08/03/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARGO,08/04/2020,1485.00,1485.00,1485.00,1485.00,0.00,0.00,0.00
ARII,08/04/2020,496.00,496.00,452.00,474.00,24400.00,0.00,11.00
ARKA,08/04/2020,288.00,288.00,288.00,288.00,0.00,0.00,0.00
ARMY,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARNA,08/04/2020,422.00,422.00,416.00,420.00,2532600.00,567459968.00,39.00
ARTA,08/04/2020,300.00,300.00,300.00,300.00,600.00,0.00,2.00
ARTI,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
ARTO,08/04/2020,2740.00,2760.00,2740.00,2750.00,100500.00,0.00,53.00
ASBI,08/04/2020,300.00,300.00,300.00,300.00,0.00,0.00,0.00
ASDM,08/04/2020,930.00,930.00,930.00,930.00,0.00,0.00,0.00
ASGR,08/04/2020,650.00,650.00,640.00,645.00,473400.00,-88790000.00,91.00
ASII,08/04/2020,4900.00,4960.00,4900.00,4960.00,32307000.00,-24860000256.00,8221.00
ASJT,08/04/2020,115.00,124.00,115.00,124.00,33000.00,0.00,9.00
ASMI,08/04/2020,1160.00,1165.00,1155.00,1165.00,47500.00,0.00,63.00
ASPI,08/04/2020,210.00,210.00,210.00,210.00,13216800.00,420000.00,465.00
ASRI,08/04/2020,115.00,118.00,112.00,114.00,26097300.00,-273180000.00,1363.00
ASRM,08/04/2020,1990.00,1990.00,1860.00,1860.00,3000.00,0.00,5.00
ASSA,08/04/2020,520.00,520.00,500.00,510.00,7038400.00,134190000.00,491.00
ATIC,08/04/2020,570.00,700.00,570.00,700.00,9100.00,0.00,12.00
ATPK,08/03/2020,194.00,194.00,194.00,194.00,0.00,0.00,0.00
AUDUSD,08/03/2020,0.71,0.72,0.71,0.71,0.00,0.00,0.00
AYLS,08/04/2020,50.00,50.00,50.00,50.00,100.00,0.00,1.00
AUTO,08/04/2020,860.00,865.00,840.00,840.00,1914200.00,-1360000000.00,366.00
BABP,08/04/2020,50.00,50.00,50.00,50.00,18400.00,0.00,4.00
BABP-W3,08/04/2020,28.00,28.00,27.00,27.00,16000.00,0.00,0.00
BACA,08/04/2020,410.00,426.00,386.00,420.00,69700.00,-595200.00,33.00
BAJA,08/04/2020,55.00,61.00,55.00,59.00,511600.00,0.00,89.00
BALI,08/04/2020,835.00,890.00,830.00,890.00,7900.00,-696000.00,13.00
BAPI,08/04/2020,50.00,50.00,50.00,50.00,12900.00,0.00,7.00
BAPA,08/04/2020,50.00,51.00,50.00,51.00,118300.00,2400.00,111.00
BATA,08/04/2020,610.00,610.00,610.00,610.00,1300.00,0.00,6.00
BAYU,08/04/2020,1100.00,1235.00,1100.00,1155.00,1800.00,0.00,9.00
BBCA,08/04/2020,30775.00,31100.00,30650.00,31050.00,15871400.00,120590000128.00,9572.00
BBHI,08/04/2020,117.00,131.00,117.00,123.00,753800.00,0.00,74.00
BBKP,08/04/2020,172.00,179.00,172.00,178.00,38434300.00,18550000.00,1492.00
BBMD,08/04/2020,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00
BBLD,08/04/2020,380.00,380.00,380.00,380.00,200.00,0.00,1.00
BBNI,08/04/2020,4470.00,4560.00,4450.00,4560.00,33204600.00,40260001792.00,8571.00
BBNP,08/03/2020,2250.00,2250.00,2250.00,2250.00,0.00,0.00,0.00
BBRI,08/04/2020,3000.00,3080.00,3000.00,3080.00,156288000.00,53809999872.00,19508.00
BBSS,08/04/2020,112.00,120.00,112.00,112.00,1058500.00,0.00,248.00
BBRM,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00
BBTN,08/04/2020,1225.00,1285.00,1220.00,1280.00,68339800.00,9639999488.00,5362.00
BBYB,08/04/2020,280.00,300.00,280.00,288.00,231400.00,0.00,18.00
